"Genome.ID","NCBI.Taxon.ID","Status","Genome","Phylum","Class","Order","Family","Genus","Species","Strain","Cultured","Ecosystem","Ecosystem.Category","Ecosystem.Type","Ecosystem.Subtype","Genome.Size","Gene.Count","Scaffold.Count","GOLD.Analysis.Project.Type","GOLD.Sequencing.Strategy","Prophages.per.genome","Total.Size.Prophages","Genome.Size.Without.Prophage","Percentage.of.Genome.Prophage"
651324112,937772,"Permanent Draft","gamma proteobacterium IMCC1989","Proteobacteria","Gammaproteobacteria","Alteromonadales","unclassified","unclassified","gamma proteobacterium IMCC1989","IMCC1989","Yes","Environmental","Aquatic","Marine","",3017625,2880,455,"Genome Analysis","Whole Genome Sequencing",2,12413,3005212,0.411349985501843
2515154007,1286635,"Draft","Desulfotignum phosphitoxidans FiPS-3, DSM 13687","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfotignum","Desulfotignum phosphitoxidans","FiPS-3","Yes","Environmental","Aquatic","Marine","Oceanic",4788289,4618,244,"Genome Analysis","Whole Genome Sequencing",1,7742,4780547,0.161686147181175
2515154125,1136430,"Permanent Draft","Salinispora arenicola CNH964","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Salinispora","Salinispora arenicola","CNH964","Yes","Environmental","Aquatic","Marine","Oceanic",5912993,5426,70,"Genome Analysis","Whole Genome Sequencing",1,27713,5885280,0.468679736302749
2519103181,1167759,"Draft","Streptomyces sp. LaPpAH-185","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","Streptomyces sp. LaPpAH-185","LaPpAH-185","Yes","Environmental","Aquatic","Marine","Unclassified",9743327,8599,63,"Genome Analysis","Whole Genome Sequencing",1,5643,9737684,0.0579165617658116
2523231063,1122226,"Permanent Draft","Mesonia mobilis DSM 19841","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Mesonia","Mesonia mobilis","DSM 19841","Yes","Environmental","Aquatic","Marine","Unclassified",3211040,3043,60,"Genome Analysis","Whole Genome Sequencing",1,15517,3195523,0.483239075190592
2548876821,1136158,"Permanent Draft","Vibrio cyclitrophicus 1F97","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio cyclitrophicus","1F97","Yes","Environmental","Aquatic","Marine","Unclassified",5338318,4919,151,"Genome Analysis","Whole Genome Sequencing",1,4744,5333574,0.0888669427336476
2548876832,1136172,"Permanent Draft","Vibrio cyclitrophicus ZF205","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio cyclitrophicus","ZF205","Yes","Environmental","Aquatic","Marine","Unclassified",4875086,4369,70,"Genome Analysis","Whole Genome Sequencing",1,30441,4844645,0.624419753825881
2548876835,1136170,"Permanent Draft","Vibrio cyclitrophicus ZF99","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio cyclitrophicus","ZF99","Yes","Environmental","Aquatic","Marine","Unclassified",4917182,4369,85,"Genome Analysis","Whole Genome Sequencing",1,10649,4906533,0.216567131336607
2548876839,1136174,"Permanent Draft","Vibrio cyclitrophicus ZF255","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio cyclitrophicus","ZF255","Yes","Environmental","Aquatic","Marine","Unclassified",4968531,4484,132,"Genome Analysis","Whole Genome Sequencing",1,7075,4961456,0.142396213287187
2551306060,617133,"Permanent Draft","Vibrio ordalii FS-238","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio ordalii","FS-238","Yes","Environmental","Aquatic","Marine","Unclassified",3914684,3597,223,"Genome Analysis","Whole Genome Sequencing",1,13552,3901132,0.346183753273572
2551306068,617131,"Permanent Draft","Vibrio ordalii FF-167","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio ordalii","FF-167","Yes","Environmental","Aquatic","Marine","Unclassified",3780331,3635,286,"Genome Analysis","Whole Genome Sequencing",1,7915,3772416,0.209373200389066
2551306096,1196031,"Permanent Draft","Bacillus oceanisediminis 2691","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus oceanisediminis","2691","Yes","Environmental","Aquatic","Marine","Unclassified",5760615,5979,77,"Genome Analysis","Whole Genome Sequencing",1,12384,5748231,0.214977046721574
2558860114,1397696,"Permanent Draft","Exiguobacterium marinum DSM 16307","Firmicutes","Bacilli","Bacillales","unclassified","Exiguobacterium","Exiguobacterium marinum","DSM 16307","Yes","Environmental","Aquatic","Marine","Intertidal zone",2814016,2930,2,"Genome Analysis","Whole Genome Sequencing",1,39645,2774371,1.40884060360709
2574179726,1123498,"Permanent Draft","Vibrio ruber DSM 16370","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio ruber","DSM 16370","Yes","Environmental","Aquatic","Marine","Unclassified",4542383,4052,97,"Genome Analysis","Whole Genome Sequencing",1,6825,4535558,0.150251530969537
2597490345,693982,"Permanent Draft","Sinorhizobium meliloti DSM 23913","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Sinorhizobium","Sinorhizobium meliloti","AK83","Yes","Environmental","Aquatic","Marine","Unclassified",6919612,6854,184,"Genome Analysis","Whole Genome Sequencing",1,7887,6911725,0.113980379246698
2630968265,1454205,"Draft","Moorea producens-heterotrophic bacteria co-culture from Jamaica (Final Draft of Linear Chromosome and 2 Linear Plasmid Scaffolds)","Cyanobacteria","unclassified","Oscillatoriales","Oscillatoriaceae","Moorea","Moorea producens","JHB 22AUG96-1","Yes","Environmental","Aquatic","Marine","Oceanic",9384763,7620,3,"Genome Analysis","Whole Genome Sequencing",1,9474,9375289,0.100950871108839
2651869885,1738654,"Draft","Unclassified Woeseiaceae bin20_1J","Proteobacteria","Gammaproteobacteria","Chromatiales","Woeseiaceae","unclassified","unclassified","","No","Environmental","Aquatic","Marine","Coastal",2407210,2424,298,"Genome from Metagenome","Metagenome",1,3190,2404020,0.132518558829516
643692030,123214,"Finished","Persephonella marina EX-H1","Aquificae","Aquificae","Aquificales","Hydrogenothermaceae","Persephonella","Persephonella marina","EX-H1","Yes","Environmental","Aquatic","Marine","Hydrothermal vents",1983966,2095,2,"Genome Analysis","Whole Genome Sequencing",1,53682,1930284,2.70579233716707
647533245,391586,"Permanent Draft","Vibrio parahaemolyticus 16","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio sp. 16","16","Yes","Environmental","Aquatic","Marine","Unclassified",4535833,4136,80,"Genome Analysis","Whole Genome Sequencing",1,47116,4488717,1.03875076529493
