"Contig_id","Nb.genes.contigs","Fragment","Nb.genes","Category","Nb.phage.hallmark.genes","Phage.gene.enrichment.sig","Non.Caudovirales.phage.gene.enrichment.sig","Pfam.depletion.sig","Uncharacterized.enrichment.sig","Strand.switch.depletion.sig","Short.genes.enrichment.sig","Scaffold.ID.x","Scaffold.Name","Genome.ID","Genome","Gene.Count","Sequence.Length..bp.","GC.Content","Read.Depth","Prophages.per.scaffold","Prophages.per.genome","Scaffold.ID.y","Gene.Start","Gene.End","bp.Start","bp.End","Fragment.Length"
"2516493516_NitteDRAFT_scaffold1_1-circular",1953,"2516493516_NitteDRAFT_scaffold1_1-circular-gene_1828-gene_1876",49,2,1,"","","gene_1828-gene_1876:6.32315815746045","","","",2516493516,"Nitratiruptor tergarcus DSM 16512 : NitteDRAFT_scaffold1.1",2516493030,"Nitratiruptor tergarcus DSM 16512",2004,1894691,0.37,1,1,1,2516493516,1828,1876,1757417,1802060,44643
"2517093774_Syn9616DRAFT_scaffold1_1-circular",2781,"2517093774_Syn9616DRAFT_scaffold1_1-circular-gene_431-gene_530",100,2,1,"","","gene_431-gene_530:22.83535569646252","gene_431-gene_530:18.04300068464224","","",2517093774,"Synechococcus sp. CC9616 : Syn9616DRAFT_scaffold1.1",2517093019,"Synechococcus sp. CC9616",2958,2645910,0.57,1,8,8,2517093774,431,530,385623,463513,77890
"2517487235_scaffold00006",4444,"2517487235_scaffold00006-gene_2294-gene_2391",98,2,4,"","","gene_2343-gene_2391:18.64317510449660","gene_2294-gene_2391:2.05349355108030","","",2517487235,"Loktanella sp. SE62 : scaffold00006",2517487002,"Loktanella sp. SE62",4572,4521360,0.62,1,3,3,2517487235,2294,2391,2349298,2426553,77255
"2517487235_scaffold00006",4444,"2517487235_scaffold00006-gene_2798-gene_2848",51,2,1,"","","gene_2798-gene_2844:17.37199376045024","gene_2799-gene_2848:3.14487227940739","","",2517487235,"Loktanella sp. SE62 : scaffold00006",2517487002,"Loktanella sp. SE62",4572,4521360,0.62,1,3,3,2517487235,2798,2848,2825633,2870622,44989
"2519109854_F550DRAFT_scaffold00001_1-circular",3236,"2519109854_F550DRAFT_scaffold00001_1-circular-gene_1023-gene_1044",22,2,1,"","","gene_1023-gene_1044:2.19444059114648","","","",2519109854,"Henriciella marina DSM 19595 : F550DRAFT_scaffold00001.1",2519103046,"Henriciella marina DSM 19595",3256,3273989,0.6,1,3,3,2519109854,1023,1044,1051578,1072189,20611
"2519109854_F550DRAFT_scaffold00001_1-circular",3236,"2519109854_F550DRAFT_scaffold00001_1-circular-gene_1078-gene_1151",74,2,3,"","","gene_1078-gene_1151:3.38969865280577","","","",2519109854,"Henriciella marina DSM 19595 : F550DRAFT_scaffold00001.1",2519103046,"Henriciella marina DSM 19595",3256,3273989,0.6,1,3,3,2519109854,1078,1151,1107150,1177467,70317
"2521191475_Leiaq_neu_scaffold_2516677483_1",4167,"2521191475_Leiaq_neu_scaffold_2516677483_1-gene_3152-gene_3200",49,2,2,"","","gene_3152-gene_3200:7.85599826417981","","","",2521191475,"cAqui_4250",2521172617,"Leisingera aquimarina DSM 24565 (scaffold version)",4245,4250010,0.61,1,1,1,2521191475,3152,3200,3220661,3258158,37497
"2521191523_Phaar_neu_scaffold_2516677464_1",4114,"2521191523_Phaar_neu_scaffold_2516677464_1-gene_1-gene_82",82,2,2,"","","gene_1-gene_82:17.86098894832257","gene_4-gene_82:6.08905258669208","","gene_70-gene_82:3.62381653867472",2521191523,"cArct_4215",2521172622,"Pseudophaeobacter arcticus DSM 23566",4089,4215469,0.59,1,6,6,2521191523,1,82,0,63298,63298
"2521191523_Phaar_neu_scaffold_2516677464_1",4114,"2521191523_Phaar_neu_scaffold_2516677464_1-gene_1517-gene_1561",45,2,3,"","","gene_1517-gene_1561:19.24291758395674","","","",2521191523,"cArct_4215",2521172622,"Pseudophaeobacter arcticus DSM 23566",4089,4215469,0.59,1,6,6,2521191523,1517,1561,1606892,1639329,32437
"2521191523_Phaar_neu_scaffold_2516677464_1",4114,"2521191523_Phaar_neu_scaffold_2516677464_1-gene_2017-gene_2055",39,2,3,"","","gene_2017-gene_2055:17.01319288655689","gene_2017-gene_2054:2.17616933683498","","",2521191523,"cArct_4215",2521172622,"Pseudophaeobacter arcticus DSM 23566",4089,4215469,0.59,1,6,6,2521191523,2017,2055,2116226,2145392,29166
"2521191523_Phaar_neu_scaffold_2516677464_1",4114,"2521191523_Phaar_neu_scaffold_2516677464_1-gene_2113-gene_2204",92,2,7,"gene_2122-gene_2204:4.21062933257366","","gene_2113-gene_2204:22.36612156237598","","","",2521191523,"cArct_4215",2521172622,"Pseudophaeobacter arcticus DSM 23566",4089,4215469,0.59,1,6,6,2521191523,2113,2204,2203286,2280615,77329
"2521191523_Phaar_neu_scaffold_2516677464_1",4114,"2521191523_Phaar_neu_scaffold_2516677464_1-gene_2349-gene_2394",46,2,2,"","","gene_2349-gene_2394:19.89635943661361","gene_2350-gene_2392:2.19634466927882","","",2521191523,"cArct_4215",2521172622,"Pseudophaeobacter arcticus DSM 23566",4089,4215469,0.59,1,6,6,2521191523,2349,2394,2442235,2475318,33083
"2521194441_CP003845",3795,"2521194441_CP003845-gene_2449-gene_2500",52,2,2,"","","gene_2449-gene_2500:22.19294682753624","","","",2521194441,"Alteromonas macleodii Black Sea 11 : CP003845",2521172684,"Alteromonas macleodii Black Sea 11",3858,4480507,0.45,1,3,3,2521194441,2449,2500,2891581,2933581,42000
"2524031326_Shewanella",4136,"2524031326_Shewanella-gene_1665-gene_1720",56,2,4,"","","gene_1665-gene_1720:18.83007096406570","","","",2524031326,"Shewanella frigidimarina NCIMB 400 : Shewanella",2524023134,"Shewanella frigidimarina NCIMB 400",4174,4845257,0.42,1,1,1,2524031326,1665,1720,1952220,1998477,46257
"2524031327_Shewanella",3897,"2524031327_Shewanella-gene_3320-gene_3369",50,2,4,"","","gene_3320-gene_3369:15.18086065731375","","","",2524031327,"Shewanella denitrificans OS217 : Shewanella",2524023135,"Shewanella denitrificans OS217",3920,4545906,0.45,1,2,2,2524031327,3320,3369,3865190,3906314,41124
"2524037964_FO203503",4557,"2524037964_FO203503-gene_4414-gene_4444",31,2,1,"","","gene_4414-gene_4444:8.70652850592553","","","",2524037964,"Desulfobacula toluolica Tol2 : FO203503",2524023220,"Desulfobacula toluolica Tol2",4435,5197905,0.41,1,4,4,2524037964,4414,4444,5035903,5064438,28535
"2524708640_K337DRAFT_scaffold00002_2-circular",1105,"2524708640_K337DRAFT_scaffold00002_2-circular-gene_199-gene_268",70,2,4,"gene_206-gene_232:5.86807493606343","","gene_199-gene_268:31.18097815436472","gene_233-gene_262:8.71526394607232","","",2524708640,"Psychrilyobacter atlanticus DSM 19335 : K337DRAFT_scaffold00002.2",2524614854,"Psychrilyobacter atlanticus DSM 19335",1125,1146430,0.31,1,3,3,2524708640,199,268,216587,270640,54053
"2524708640_K337DRAFT_scaffold00002_2-circular",1105,"2524708640_K337DRAFT_scaffold00002_2-circular-gene_776-gene_848",73,2,4,"gene_805-gene_829:5.77895519322272","","gene_776-gene_848:31.55141659543888","gene_776-gene_848:6.14361085011041","","",2524708640,"Psychrilyobacter atlanticus DSM 19335 : K337DRAFT_scaffold00002.2",2524614854,"Psychrilyobacter atlanticus DSM 19335",1125,1146430,0.31,1,3,3,2524708640,776,848,811492,867042,55550
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1",4403,"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_2475-gene_2515",41,2,5,"gene_2481-gene_2515:9.26238675747365","","gene_2475-gene_2515:13.58968068009917","","","",2526166977,"Draft Genome Sequence of Serratia sp. strain ATCC 39006 : SER39009_Serratia_39006_draft_12-05-13.1",2526164535,"Serratia sp. ATCC 39006",4578,4947661,0.49,1,3,3,2526166977,2475,2515,2763218,2797702,34484
"2526166977_SER39009_Serratia_39006_draft_12-05-13_1",4403,"2526166977_SER39009_Serratia_39006_draft_12-05-13_1-gene_4119-gene_4180",62,2,1,"gene_4150-gene_4180:6.64909083572709","","gene_4119-gene_4180:12.94071115131786","","","",2526166977,"Draft Genome Sequence of Serratia sp. strain ATCC 39006 : SER39009_Serratia_39006_draft_12-05-13.1",2526164535,"Serratia sp. ATCC 39006",4578,4947661,0.49,1,3,3,2526166977,4119,4180,4658820,4703210,44390
"2540348203_FO203427",3295,"2540348203_FO203427-gene_2260-gene_2352",93,2,3,"","","gene_2260-gene_2352:6.76012068118542","","","",2540348203,"Desulfovibrio piezophilus C1TLV30, DSM 21447 : FO203427",2540341170,"Desulfovibrio piezophilus C1TLV30",3431,3646098,0.5,1,2,2,2540348203,2260,2352,2474726,2569803,95077
"2540355318_H276DRAFT_scaffold00001_1-circular",3704,"2540355318_H276DRAFT_scaffold00001_1-circular-gene_725-gene_751",27,2,1,"","","gene_725-gene_751:7.68335472002552","","","",2540355318,"Mycobacterium sp. 141 : H276DRAFT_scaffold00001.1",2540341250,"Mycobacterium sp. 141",3820,3866206,0.66,1,2,2,2540355318,725,751,751709,773444,21735
"2549075848_RCA23c",3168,"2549075848_RCA23c-gene_2282-gene_2353",72,2,1,"","","gene_2282-gene_2353:6.68891411919184","gene_2308-gene_2323:2.21122199027117","","",2549075848,"Planktomarina temperata RCA23, DSM 22400 (RCA23) : RCA23c",2548877138,"Planktomarina temperata RCA23, DSM 22400 (RCA23)",3101,3288122,0.54,1,2,2,2549075848,2282,2353,2370338,2440463,70125
"2558913391_P176DRAFT_scf7180000000002_quiver_dupTrim_6579_1",3571,"2558913391_P176DRAFT_scf7180000000002_quiver_dupTrim_6579_1-gene_2375-gene_2437",63,2,0,"gene_2386-gene_2406:2.64848086861164","","gene_2375-gene_2437:35.11284230007104","gene_2407-gene_2436:4.55845658982594","","",2558913391,"Sediminibacter sp. Hel_I_10 : P176DRAFT_scf7180000000002_quiver_dupTrim_6579.1",2558860975,"Sediminibacter sp. Hel_I_10",3688,4106053,0.37,1,4,4,2558913391,2375,2437,2766915,2814914,47999
"2561539978_Calab_Cab_131026_1",3828,"2561539978_Calab_Cab_131026_1-gene_1767-gene_1809",43,2,1,"","","gene_1767-gene_1809:19.68981696686404","gene_1768-gene_1809:7.06342750152555","","",2561539978,"Caldithrix abyssi LF13, DSM 13497 : Calab_Cab_131026.1",2561511127,"Caldithrix abyssi LF13, DSM 13497",3842,4978541,0.45,1,2,2,2561539978,1767,1809,2260457,2290543,30086
"2561539978_Calab_Cab_131026_1",3828,"2561539978_Calab_Cab_131026_1-gene_986-gene_1083",98,2,4,"","","gene_986-gene_1083:36.68125973639618","gene_986-gene_1083:14.27419393300291","","",2561539978,"Caldithrix abyssi LF13, DSM 13497 : Calab_Cab_131026.1",2561511127,"Caldithrix abyssi LF13, DSM 13497",3842,4978541,0.45,1,2,2,2561539978,986,1083,1319453,1390860,71407
"2561541728_CP006605",3414,"2561541728_CP006605-gene_373-gene_388",16,2,0,"","gene_373-gene_387:18.41202741850059","gene_375-gene_388:4.07031619718831","","","",2561541728,"Vibrio campbellii ATCC BAA-1116 : CP006605",2561511217,"Vibrio campbellii ATCC BAA-1116",3496,3746887,0.46,1,2,2,2561541728,373,388,413900,427365,13465
"2561541728_CP006605",3414,"2561541728_CP006605-gene_661-gene_756",96,2,7,"gene_682-gene_709:2.72155828493135","","gene_661-gene_756:21.56613720011871","","","",2561541728,"Vibrio campbellii ATCC BAA-1116 : CP006605",2561511217,"Vibrio campbellii ATCC BAA-1116",3496,3746887,0.46,1,2,2,2561541728,661,756,713619,794086,80467
"2571071633_BS76DRAFT_scf7180000000002_quiver_dupTrim_10022_1",2522,"2571071633_BS76DRAFT_scf7180000000002_quiver_dupTrim_10022_1-gene_509-gene_571",63,2,3,"","","gene_509-gene_571:37.64924935336433","gene_509-gene_563:7.50749261655205","","gene_541-gene_566:4.35190630816225",2571071633,"Thiomicrospira sp. MA2-6 : BS76DRAFT_scf7180000000002_quiver_dupTrim_10022.1",2571042363,"Thiomicrospira sp. MA2-6",2546,2676715,0.5,1,2,2,2571071633,509,571,529035,573034,43999
"2571156966_P166DRAFT_scf7180000000008_quiver_2",2328,"2571156966_P166DRAFT_scf7180000000008_quiver_2-gene_408-gene_460",53,2,6,"","","gene_408-gene_460:17.24010152920404","","","",2571156966,"Hydrogenovibrio marinus DSM 11271 : P166DRAFT_scf7180000000008_quiver.2",2571042915,"Hydrogenovibrio marinus DSM 11271",2390,2497233,0.44,1,1,1,2571156966,408,460,451582,487311,35729
"2597512639_Ga0036914_gi564132530_1",3993,"2597512639_Ga0036914_gi564132530_1-gene_1144-gene_1181",38,2,1,"","","gene_1144-gene_1181:8.01155386645225","","","",2597512639,"Congregibacter litoralis KT71 : Ga0036914_gi564132530.1",2597489864,"Congregibacter litoralis KT71",3981,4351117,0.58,1,5,5,2597512639,1144,1181,1237366,1278473,41107
"2597512639_Ga0036914_gi564132530_1",3993,"2597512639_Ga0036914_gi564132530_1-gene_2218-gene_2230",13,2,1,"","","gene_2218-gene_2230:3.31871971756193","","","",2597512639,"Congregibacter litoralis KT71 : Ga0036914_gi564132530.1",2597489864,"Congregibacter litoralis KT71",3981,4351117,0.58,1,5,5,2597512639,2218,2230,2399994,2408175,8181
"2597520218_Ga0032872_gi461490773_1",3572,"2597520218_Ga0032872_gi461490773_1-gene_433-gene_482",50,2,2,"","","gene_433-gene_482:16.53423242905831","","","",2597520218,"Thalassolituus oleivorans MIL-1 : Ga0032872_gi461490773.1",2597489935,"Thalassolituus oleivorans MIL-1",3638,3920328,0.47,1,1,1,2597520218,433,482,506714,540004,33290
"2619690354_Ga0074067_11",4508,"2619690354_Ga0074067_11-gene_1683-gene_1739",57,2,3,"gene_1706-gene_1722:5.30988608066460","","gene_1683-gene_1739:28.92757525862228","","","",2619690354,"Martelella endophytica YC6887 : Ga0074067_11",2619619303,"Martelella endophytica YC6887",4530,4817335,0.62,1,3,3,2619690354,1683,1739,1867246,1907731,40485
"2619690354_Ga0074067_11",4508,"2619690354_Ga0074067_11-gene_3009-gene_3089",81,2,3,"","","gene_3009-gene_3089:18.29307995173201","","","",2619690354,"Martelella endophytica YC6887 : Ga0074067_11",2619619303,"Martelella endophytica YC6887",4530,4817335,0.62,1,3,3,2619690354,3009,3089,3250283,3318961,68678
"2619690354_Ga0074067_11",4508,"2619690354_Ga0074067_11-gene_3758-gene_3822",65,2,4,"gene_3760-gene_3818:3.30034608294957","","gene_3758-gene_3822:21.66999632664385","","","",2619690354,"Martelella endophytica YC6887 : Ga0074067_11",2619619303,"Martelella endophytica YC6887",4530,4817335,0.62,1,3,3,2619690354,3758,3822,4032892,4086706,53814
"2622780072_scf7180000000004",3532,"2622780072_scf7180000000004-gene_1974-gene_2082",109,2,0,"gene_1974-gene_2031:2.23777047190015","","gene_1974-gene_2051:32.70397258285752","gene_1983-gene_2082:5.14751041151833","","",2622780072,"Flagellimonas sp. DK169 : scf7180000000004",2622736625,"Flagellimonas sp. DK169",3561,4118402,0.38,1,3,3,2622780072,1974,2082,2351852,2463266,111414
"2627853750_Ga0079189_11",2988,"2627853750_Ga0079189_11-gene_1061-gene_1110",50,2,4,"gene_1075-gene_1110:5.53778812640570","","gene_1061-gene_1101:20.36105154477809","","","",2627853750,"Clostridium propionicum X2, DSM 1682 (CPRO) : Ga0079189_11",2627853505,"Clostridium propionicum X2, DSM 1682 (CPRO)",3045,3120417,0.39,1,10,10,2627853750,1061,1110,1105716,1138982,33266
"2627853750_Ga0079189_11",2988,"2627853750_Ga0079189_11-gene_1311-gene_1407",97,2,3,"gene_1353-gene_1406:10.19711001664787","","gene_1311-gene_1407:29.86135030909610","","","",2627853750,"Clostridium propionicum X2, DSM 1682 (CPRO) : Ga0079189_11",2627853505,"Clostridium propionicum X2, DSM 1682 (CPRO)",3045,3120417,0.39,1,10,10,2627853750,1311,1407,1354747,1431706,76959
"2627853750_Ga0079189_11",2988,"2627853750_Ga0079189_11-gene_2109-gene_2159",51,2,5,"","","gene_2109-gene_2159:17.23191399535805","","","",2627853750,"Clostridium propionicum X2, DSM 1682 (CPRO) : Ga0079189_11",2627853505,"Clostridium propionicum X2, DSM 1682 (CPRO)",3045,3120417,0.39,1,10,10,2627853750,2109,2159,2205281,2241253,35972
"2627853750_Ga0079189_11",2988,"2627853750_Ga0079189_11-gene_2299-gene_2332",34,2,4,"gene_2309-gene_2330:3.37111947297437","","gene_2299-gene_2332:9.40936445222480","","","",2627853750,"Clostridium propionicum X2, DSM 1682 (CPRO) : Ga0079189_11",2627853505,"Clostridium propionicum X2, DSM 1682 (CPRO)",3045,3120417,0.39,1,10,10,2627853750,2299,2332,2395450,2423005,27555
"2627853750_Ga0079189_11",2988,"2627853750_Ga0079189_11-gene_2401-gene_2446",46,2,5,"gene_2401-gene_2431:5.66746148560610","","gene_2401-gene_2446:23.72412647672626","","","",2627853750,"Clostridium propionicum X2, DSM 1682 (CPRO) : Ga0079189_11",2627853505,"Clostridium propionicum X2, DSM 1682 (CPRO)",3045,3120417,0.39,1,10,10,2627853750,2401,2446,2505247,2537239,31992
"2627853750_Ga0079189_11",2988,"2627853750_Ga0079189_11-gene_2747-gene_2790",44,2,4,"","","gene_2747-gene_2790:15.64831393662267","","","",2627853750,"Clostridium propionicum X2, DSM 1682 (CPRO) : Ga0079189_11",2627853505,"Clostridium propionicum X2, DSM 1682 (CPRO)",3045,3120417,0.39,1,10,10,2627853750,2747,2790,2877000,2909885,32885
"2627853750_Ga0079189_11",2988,"2627853750_Ga0079189_11-gene_728-gene_784",57,2,4,"gene_738-gene_781:10.47628342521803","","gene_728-gene_784:27.26203009661169","","","",2627853750,"Clostridium propionicum X2, DSM 1682 (CPRO) : Ga0079189_11",2627853505,"Clostridium propionicum X2, DSM 1682 (CPRO)",3045,3120417,0.39,1,10,10,2627853750,728,784,764742,804560,39818
"2627853750_Ga0079189_11",2988,"2627853750_Ga0079189_11-gene_829-gene_853",25,2,2,"gene_835-gene_847:4.37992438216799","","gene_829-gene_853:7.98776694271766","","","",2627853750,"Clostridium propionicum X2, DSM 1682 (CPRO) : Ga0079189_11",2627853505,"Clostridium propionicum X2, DSM 1682 (CPRO)",3045,3120417,0.39,1,10,10,2627853750,829,853,857046,874264,17218
