"Genome.ID","NCBI.Taxon.ID","Status","Genome","Phylum","Class","Order","Family","Genus","Species","Strain","Cultured","Ecosystem","Ecosystem.Category","Ecosystem.Type","Ecosystem.Subtype","Genome.Size","Gene.Count","Scaffold.Count","GOLD.Analysis.Project.Type","GOLD.Sequencing.Strategy","Prophages.per.genome","Total.Size.Prophages","Genome.Size.Without.Prophage","Percentage.of.Genome.Prophage"
2517093019,110663,"Permanent Draft","Synechococcus sp. CC9616","Cyanobacteria","unclassified","Synechococcales","Synechococcaceae","Synechococcus","Synechococcus sp. CC9616","CC9616","Yes","Environmental","Aquatic","Marine","Pelagic",2645910,2958,1,"Genome Analysis","Whole Genome Sequencing",8,429067,2216843,16.2162356240386
2517487002,744983,"Permanent Draft","Loktanella sp. SE62","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella","Loktanella sp. SE62","SE62","Yes","Environmental","Aquatic","Marine","Intertidal zone",4581948,4641,13,"Genome Analysis","Whole Genome Sequencing",3,184156,4397792,4.01916390146724
2519103046,1121949,"Permanent Draft","Henriciella marina DSM 19595","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Henriciella","Henriciella marina","DSM 19595","Yes","Environmental","Aquatic","Marine","Unclassified",3277765,3260,2,"Genome Analysis","Whole Genome Sequencing",3,114417,3163348,3.49070174341358
2521172617,999611,"Permanent Draft","Leisingera aquimarina DSM 24565 (scaffold version)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Leisingera","Leisingera aquimarina","DSM 24565","Yes","Environmental","Aquatic","Marine","Intertidal zone",5344253,5218,8,"Genome Analysis","Whole Genome Sequencing",1,37497,5306756,0.701632201918584
2521172622,999550,"Permanent Draft","Pseudophaeobacter arcticus DSM 23566","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudophaeobacter","Pseudophaeobacter arcticus","DSM 23566","Yes","Environmental","Aquatic","Marine","Oceanic",5049234,4889,6,"Genome Analysis","Whole Genome Sequencing",6,243154,4806080,4.81566114780975
2521172684,1004785,"Finished","Alteromonas macleodii Black Sea 11","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas macleodii","Black Sea 11","Yes","Environmental","Aquatic","Marine","Unclassified",4480507,3858,1,"Genome Analysis","Whole Genome Sequencing",3,118652,4361855,2.64818244899517
2524023134,318167,"Finished","Shewanella frigidimarina NCIMB 400","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella frigidimarina","NCIMB 400","Yes","Environmental","Aquatic","Marine","Unclassified",4845257,4174,1,"Genome Analysis","Whole Genome Sequencing",1,46257,4799000,0.954686201371775
2524023135,318161,"Finished","Shewanella denitrificans OS217","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella denitrificans","OS217","Yes","Environmental","Aquatic","Marine","Unclassified",4545906,3920,1,"Genome Analysis","Whole Genome Sequencing",2,59927,4485979,1.31826307011188
2524023220,651182,"Finished","Desulfobacula toluolica Tol2","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfobacula","Desulfobacula toluolica","Tol2, DSM 7467","Yes","Environmental","Aquatic","Marine","Oceanic",5197905,4435,1,"Genome Analysis","Whole Genome Sequencing",4,264066,4933839,5.08023905785119
2524614854,1123032,"Permanent Draft","Psychrilyobacter atlanticus DSM 19335","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Psychrilyobacter","Psychrilyobacter atlanticus","DSM 19335","Yes","Environmental","Aquatic","Marine","Oceanic",3539325,3414,3,"Genome Analysis","Whole Genome Sequencing",3,200920,3338405,5.67678865320365
2540341170,1322246,"Finished","Desulfovibrio piezophilus C1TLV30","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio piezophilus","C1TLV30","Yes","Environmental","Aquatic","Marine","Oceanic",3646098,3431,1,"Genome Analysis","Whole Genome Sequencing",2,171958,3474140,4.71621991509828
2540341250,1120797,"Permanent Draft","Mycobacterium sp. 141","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium","Mycobacterium sp. 141","141","Yes","Environmental","Aquatic","Marine","Hydrothermal vents",4544736,4445,3,"Genome Analysis","Whole Genome Sequencing",2,121778,4422958,2.67953958161706
2548877138,666509,"Finished","Planktomarina temperata RCA23, DSM 22400 (RCA23)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Planktomarina","Planktomarina temperata","RCA23","Yes","Environmental","Aquatic","Marine","Unclassified",3288122,3101,1,"Genome Analysis","Whole Genome Sequencing",2,173261,3114861,5.26929961844481
2558860975,1392490,"Permanent Draft","Sediminibacter sp. Hel_I_10","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Sediminibacter","Sediminibacter sp. Hel_I_10","Hel_I_10","Yes","Environmental","Aquatic","Marine","Unclassified",4106053,3688,1,"Genome Analysis","Whole Genome Sequencing",4,195328,3910725,4.7570744946546
2561511127,880073,"Permanent Draft","Caldithrix abyssi LF13, DSM 13497","Caldithrixae","Caldithrixia","Caldithrixales","Caldithrixaceae","Caldithrix","abyssi","LF13, DSM 13497","Yes","Environmental","Aquatic","Marine","Hydrothermal vents",4978541,3842,1,"Genome Analysis","Whole Genome Sequencing",2,101493,4877048,2.03860930340837
2561511217,338187,"Finished","Vibrio campbellii ATCC BAA-1116","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio campbellii","BB120","Yes","Environmental","Aquatic","Marine","Unclassified",6031829,5674,3,"Genome Analysis","Whole Genome Sequencing",2,93932,5937897,1.55727226352073
2571042363,1449087,"Permanent Draft","Thiomicrospira sp. MA2-6","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Thiomicrospira","Thiomicrospira sp. MA2-6","MA2-6","Yes","Environmental","Aquatic","Marine","Unclassified",2676715,2546,1,"Genome Analysis","Whole Genome Sequencing",2,68980,2607735,2.57703939343561
2571042915,1123513,"Permanent Draft","Hydrogenovibrio marinus DSM 11271","Proteobacteria","Gammaproteobacteria","Thiotrichales","Piscirickettsiaceae","Hydrogenovibrio","Hydrogenovibrio marinus","DSM 11271","Yes","Environmental","Aquatic","Marine","Unclassified",2609305,2554,3,"Genome Analysis","Whole Genome Sequencing",1,35729,2573576,1.36929182291836
2597489864,314285,"Permanent Draft","Congregibacter litoralis KT71","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Congregibacter","Congregibacter litoralis","KT71","Yes","Environmental","Aquatic","Marine","Unclassified",4351117,3981,1,"Genome Analysis","Whole Genome Sequencing",5,218398,4132719,5.01935480015821
2597489935,1298593,"Finished","Thalassolituus oleivorans MIL-1","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Thalassolituus","Thalassolituus oleivorans","MIL-1","Yes","Environmental","Aquatic","Marine","Unclassified",3920328,3638,1,"Genome Analysis","Whole Genome Sequencing",1,33290,3887038,0.849163641409596
2619619303,1486262,"Finished","Martelella endophytica YC6887","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","Martelella","Martelella endophytica","YC6887","Yes","Environmental","Aquatic","Marine","Coastal",4817335,4530,1,"Genome Analysis","Whole Genome Sequencing",3,162977,4654358,3.38313611156376
2622736625,1547436,"Permanent Draft","Flagellimonas sp. DK169","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flagellimonas","Flagellimonas sp. DK169","DK169","Yes","Environmental","Aquatic","Marine","",4132279,3572,2,"Genome Analysis","Whole Genome Sequencing",3,154303,3977976,3.73408959075609
2627853505,991789,"Permanent Draft","Clostridium propionicum X2, DSM 1682 (CPRO)","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Tyzzerella","[Clostridium] propionicum","X2","Yes","Environmental","Aquatic","Marine","Intertidal zone",3120417,3045,1,"Genome Analysis","Whole Genome Sequencing",10,460419,2659998,14.7550471619659
2627853986,1629723,"Finished","Geobacillus sp. 12AMOR1","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus sp. 12AMOR1","12AMOR1","Yes","Environmental","Aquatic","Marine","Hydrothermal vents",3442724,3572,2,"Genome Analysis","Whole Genome Sequencing",1,44289,3398435,1.28645223956379
2630968267,1155739,"Draft","Moorea producens-heterotrophic bacteria co-culture from Palmyra Atoll (Final Draft of Linear Chromosome)","Cyanobacteria","unclassified","Oscillatoriales","Oscillatoriaceae","Moorea","Moorea producens","PAL 15AUG08-1","Yes","Environmental","Aquatic","Marine","Oceanic",3628091,3519,1,"Genome Analysis","Whole Genome Sequencing",1,78403,3549688,2.16099871805862
2630968672,693973,"Finished","Shewanella baltica OS678","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella baltica","OS678","Yes","Environmental","Aquatic","Marine","Unclassified",5368767,4782,2,"Genome Analysis","Whole Genome Sequencing",3,120493,5248274,2.24433282353285
2643221409,880073,"Permanent Draft","Caldithrix abyssi LF13, DSM 13497","Calditrichaeota","Calditrichae","Calditrichales","Calditrichaceae","Caldithrix","Caldithrix abyssi","LF13, DSM 13497","Yes","Environmental","Aquatic","Marine","Hydrothermal vents",4978541,4267,1,"Genome Analysis","Whole Genome Sequencing",2,101493,4877048,2.03860930340837
2645727918,658445,"Finished","Photobacterium gaetbulicola Gung47","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium gaetbulicola","Gung47","Yes","Environmental","Aquatic","Marine","Coastal",5909413,5448,2,"Genome Analysis","Whole Genome Sequencing",1,45866,5863547,0.776151539924524
2648501899,1121451,"Permanent Draft","Desulfovibrio hydrothermalis AM13, DSM 14728","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio hydrothermalis","AM13","Yes","Environmental","Aquatic","Marine","Hydrothermal vents",3708362,3340,2,"Genome Analysis","Whole Genome Sequencing",3,157237,3551125,4.24006609926431
2667527504,283699,"Finished","Pseudoalteromonas sp. Bsw20308","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas sp. Bsw20308","Bsw20308","Yes","Environmental","Aquatic","Marine","Unclassified",4830226,4294,2,"Genome Analysis","Whole Genome Sequencing",1,38039,4792187,0.787520087051827
2667527567,1420916,"Finished","Marinobacter similis A3d10","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Marinobacter","Marinobacter similis","A3d10","Yes","Environmental","Aquatic","Marine","Oceanic",3975896,4697,1,"Genome Analysis","Whole Genome Sequencing",3,185413,3790483,4.6634268099568
2667527571,1188256,"Finished","Rhodovulum sulfidophilum DSM 1374","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum","Rhodovulum sulfidophilum","DSM 1374","Yes","Environmental","Aquatic","Marine","Intertidal zone",4346304,4104,3,"Genome Analysis","Whole Genome Sequencing",5,423528,3922776,9.74455537394531
2687453592,1188256,"Finished","Rhodovulum sulfidophilum DSM 1374","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodovulum","Rhodovulum sulfidophilum","DSM 1374","Yes","Environmental","Aquatic","Marine","Intertidal zone",4347929,4113,3,"Genome Analysis","Whole Genome Sequencing",5,419807,3928122,9.65533245828071
2690315688,935198,"Permanent Draft","Clostridium botulinum B Eklund 17B","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium botulinum","B Eklund 17B","Yes","Environmental","Aquatic","Marine","Oceanic",3829198,3621,2,"Genome Analysis","Whole Genome Sequencing",9,470919,3358279,12.2981104659514
2718217855,1913578,"Finished","Sphingopyxis sp. LPB0140","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis","Sphingopyxis sp. LPB0140","LPB0140","Yes","Environmental","Aquatic","Marine","",2533041,2419,1,"Genome Analysis","Whole Genome Sequencing",3,66128,2466913,2.61061704094012
2718217880,1674922,"Finished","Labrenzia sp. CP4","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Labrenzia","Labrenzia sp. CP4","CP4","Yes","Environmental","Aquatic","Marine","",6051301,5626,2,"Genome Analysis","Whole Genome Sequencing",2,71344,5979957,1.17898613868324
2718218090,1850250,"Finished","Rhodobacter sp. LPB0142","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","Rhodobacter sp. LPB0142","LPB0142","Yes","Environmental","Aquatic","Marine","",3780829,3783,4,"Genome Analysis","Whole Genome Sequencing",3,165963,3614866,4.38959286442206
2718218092,1720344,"Finished","Psychrobacter sp. AntiMn-1","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","Psychrobacter sp. AntiMn-1","AntiMn-1","Yes","Environmental","Aquatic","Marine","Oceanic",3138120,2768,1,"Genome Analysis","Whole Genome Sequencing",1,40969,3097151,1.30552687596395
2718218154,880073,"Finished","Caldithrix abyssi LF13, DSM 13497","Calditrichaeota","Calditrichae","Calditrichales","Calditrichaceae","Caldithrix","Caldithrix abyssi","LF13, DSM 13497","Yes","Environmental","Aquatic","Marine","Hydrothermal vents",4978541,3855,1,"Genome Analysis","Whole Genome Sequencing",2,101493,4877048,2.03860930340837
2718218446,1715860,"Finished","Staphylococcus sp. AntiMn-1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus sp. AntiMn-1","AntiMn-1","Yes","Environmental","Aquatic","Marine","Oceanic",2738396,2831,2,"Genome Analysis","Whole Genome Sequencing",1,42530,2695866,1.55309896742473
2721755502,1547283,"Finished","Bacillus weihaiensis Alg07","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus weihaiensis","Alg07","Yes","Environmental","Aquatic","Marine","",4361276,4342,2,"Genome Analysis","Whole Genome Sequencing",5,376229,3985047,8.62658084468857
2724679807,663,"Draft","Vibrio alginolyticus K01M1 (K01M1)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K01M1","Yes","Environmental","Aquatic","Marine","",5352051,4885,2,"Genome Analysis","Whole Genome Sequencing",3,166725,5185326,3.11516089813045
2724679808,663,"Permanent Draft","Vibrio alginolyticus K04M1 (K04M1)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K04M1","Yes","Environmental","Aquatic","Marine","",5651285,5230,5,"Genome Analysis","Whole Genome Sequencing",3,166725,5484560,2.95021397788291
2724679809,663,"Permanent Draft","Vibrio alginolyticus K04M3 (K04M3)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K04M3","Yes","Environmental","Aquatic","Marine","",5674090,5267,3,"Genome Analysis","Whole Genome Sequencing",3,166725,5507365,2.93835663516088
2724679810,663,"Permanent Draft","Vibrio alginolyticus K04M5 (Vibrio alginolyticus K04M5)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K04M5","Yes","Environmental","Aquatic","Marine","",5666255,5234,3,"Genome Analysis","Whole Genome Sequencing",3,166725,5499530,2.94241964048565
2724679811,663,"Permanent Draft","Vibrio alginolyticus K05K4 (K05K4)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K05K4","Yes","Environmental","Aquatic","Marine","",5672537,5278,5,"Genome Analysis","Whole Genome Sequencing",4,177097,5495440,3.12200696090656
2724679823,663,"Permanent Draft","Vibrio alginolyticus K06K5 (K06K5)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K06K5","Yes","Environmental","Aquatic","Marine","",5671999,5239,4,"Genome Analysis","Whole Genome Sequencing",3,166725,5505274,2.9394398694358
2724679826,663,"Permanent Draft","Vibrio alginolyticus K09K1 (K09K1)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K09K1","Yes","Environmental","Aquatic","Marine","",5362829,4934,2,"Genome Analysis","Whole Genome Sequencing",5,182631,5180198,3.40549735969579
2724679827,663,"Permanent Draft","Vibrio alginolyticus K10K4 (K10K4)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K10K4","Yes","Environmental","Aquatic","Marine","",5389178,4926,2,"Genome Analysis","Whole Genome Sequencing",4,177098,5212080,3.28617833740136
2724679828,663,"Permanent Draft","Vibrio alginolyticus K08M3 (K08M3)","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio","Vibrio alginolyticus","K08M3","Yes","Environmental","Aquatic","Marine","",5655141,5231,3,"Genome Analysis","Whole Genome Sequencing",3,166725,5488416,2.94820235251429
2728369379,1670800,"Finished","Mesorhizobium sp. B7","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium sp. B7","B7","Yes","Environmental","Aquatic","Marine","",5324561,5305,2,"Genome Analysis","Whole Genome Sequencing",5,230231,5094330,4.32394332603195
637000267,246200,"Finished","Ruegeria pomeroyi DSS-3","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ruegeria","Ruegeria pomeroyi","DSS-3","Yes","Environmental","Aquatic","Marine","Unclassified",4601053,4355,2,"Genome Analysis","Whole Genome Sequencing",1,24354,4576699,0.529313615817944
637000201,221109,"Finished","Oceanobacillus iheyensis HTE831","Firmicutes","Bacilli","Bacillales","Bacillaceae","Oceanobacillus","Oceanobacillus iheyensis","HTE831","Yes","Environmental","Aquatic","Marine","Oceanic",3630528,3664,1,"Genome Analysis","Whole Genome Sequencing",1,114634,3515894,3.15750215946551
637000094,177439,"Finished","Desulfotalea psychrophila LSv54","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulfotalea","Desulfotalea psychrophila","LSv54","Yes","Environmental","Aquatic","Marine","Oceanic",3659634,3332,3,"Genome Analysis","Whole Genome Sequencing",2,171019,3488615,4.67311758498254
637000206,298386,"Finished","Photobacterium profundum SS9","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Photobacterium","Photobacterium profundum","SS9","Yes","Environmental","Aquatic","Marine","Unclassified",6403280,5746,3,"Genome Analysis","Whole Genome Sequencing",1,52074,6351206,0.813239464774303
637000118,235909,"Finished","Geobacillus kaustophilus HTA426","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus","Geobacillus kaustophilus","HTA426","Yes","Environmental","Aquatic","Marine","Oceanic",3592666,3714,2,"Genome Analysis","Whole Genome Sequencing",1,43641,3549025,1.21472466407954
637000217,326442,"Finished","Pseudoalteromonas haloplanktis TAC125","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas haloplanktis","TAC125","Yes","Environmental","Aquatic","Marine","Neritic zone",3850272,3634,2,"Genome Analysis","Whole Genome Sequencing",1,35778,3814494,0.929233051587005
637000310,110662,"Finished","Synechococcus sp. CC9605","Cyanobacteria","unclassified","Chroococcales","unclassified","Synechococcus","sp.","CC9605","Yes","Environmental","Aquatic","Marine","Pelagic",2510659,2761,1,"Genome Analysis","Whole Genome Sequencing",11,607445,1903214,24.194643717048
637000128,349521,"Finished","Hahella chejuensis KCTC 2396","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Hahella","Hahella chejuensis","KCTC 2396","Yes","Environmental","Aquatic","Marine","Oceanic",7215267,6875,1,"Genome Analysis","Whole Genome Sequencing",11,733985,6481282,10.1726658209599
637000216,342610,"Finished","Pseudoalteromonas atlantica T6c","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas atlantica","T6c","Yes","Environmental","Aquatic","Marine","Unclassified",5187005,4405,1,"Genome Analysis","Whole Genome Sequencing",1,62887,5124118,1.21239520686793
637000260,60481,"Finished","Shewanella sp. MR-7","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella sp. MR-7","MR-7","Yes","Environmental","Aquatic","Marine","Unclassified",4799109,4172,2,"Genome Analysis","Whole Genome Sequencing",2,70779,4728330,1.47483626648197
637000157,394221,"Finished","Maricaulis maris MCS10","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Maricaulis","Maricaulis maris","MCS10","Yes","Environmental","Aquatic","Marine","Unclassified",3368780,3138,1,"Genome Analysis","Whole Genome Sequencing",2,148503,3220277,4.40821306229555
637000135,228405,"Finished","Hyphomonas neptunium ATCC 15444","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Hyphomonadaceae","Hyphomonas","Hyphomonas neptunium","ATCC 15444","Yes","Environmental","Aquatic","Marine","Unclassified",3705021,3577,1,"Genome Analysis","Whole Genome Sequencing",1,108828,3596193,2.93731128649473
639633025,411154,"Finished","Gramella forsetii KT0803","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","Gramella forsetii","KT0803","Yes","Environmental","Aquatic","Marine","Unclassified",3798465,3642,1,"Genome Analysis","Whole Genome Sequencing",3,201863,3596602,5.31433092051658
639633036,156889,"Finished","Magnetococcus marinus MC-1","Proteobacteria","Alphaproteobacteria","Magnetococcales","Magnetococcaceae","Magnetococcus","Magnetococcus marinus","MC-1","Yes","Environmental","Aquatic","Marine","Neritic zone",4719581,3823,1,"Genome Analysis","Whole Genome Sequencing",7,641564,4078017,13.5936643528313
639633059,351745,"Finished","Shewanella sp. W3-18-1","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella sp. W3-18-1","W3-18-1","Yes","Environmental","Aquatic","Marine","Oceanic",4708380,4237,1,"Genome Analysis","Whole Genome Sequencing",2,111730,4596650,2.37300302864255
640069330,325240,"Finished","Shewanella baltica OS155","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella baltica","OS155","Yes","Environmental","Aquatic","Marine","Unclassified",5342896,4741,5,"Genome Analysis","Whole Genome Sequencing",3,115472,5227424,2.16122492371178
